year,month,value_code,value_label,Imports: Value index,Exports: Value index,Terms of trade
2021,June,EGW2,Food of animal origin,99.7,100,101.4
2021,June,EGW3,Food of vegetable origin,99.2,95.4,100.8
2021,June,EGW4,Tea, alcoholic beverages,e,e
2021,June,EGW1-4,Food,99.9,99.3,101.1
2021,June,EGW5,Raw materials,88.3,90.3,101.4
2021,June,EGW6,Semi-finished goods,105.5,101,99.1
2021,June,EGW7,Intermediate products,107.7,104.7,96.4
2021,June,EGW8,End products,103.8,105.1,100.2
2021,June,EGW7-8,Finished goods,104.4,105.1,99.7
2021,June,EGW5-8,Industrial products,103.1,104.7,100.1
2021,June,EGW9,Other unallocated products,109.4,100.1,101.4
2021,June,EGW1-9,Total,103.1,104.3,100.1
2021,July,EGW1,Live animals,102.7,101.4,100.9
2021,July,EGW2,Food of animal origin,97.4,104.1,101.1
2021,July,EGW3,Food of vegetable origin,93.9,94.5,101.1
2021,July,EGW4,Tea, alcoholic beverages,e,e
2021,July,EGW1-4,Food,95.5,99.2,101.6
2021,July,EGW5,Raw materials,89.2,97,99.3
2021,July,EGW6,Semi-finished goods,105.8,97.8,101.8
2021,July,EGW7,Intermediate products,102.1,102.3,104.4
2021,July,EGW8,End products,97,101.4,101.3
2021,July,EGW7-8,Finished goods,97.7,101.5,101.8
2021,July,EGW5-8,Industrial products,97.7,101.2,101.8
2021,July,EGW9,Other unallocated products,95.7,96.3,97.4
2021,July,EGW1-9,Total,97.5,101,101.7
2021,August,EGW1,Live animals,89.3,98.1,83.7
2021,August,EGW2,Food of animal origin,96.8,100.7,99.9
2021,August,EGW3,Food of vegetable origin,95.2,97.3,101.8
2021,August,EGW4,Tea, alcoholic beverages,e,e
2021,August,EGW1-4,Food,95.6,99.4,101.4
2021,August,EGW5,Raw materials,94.4,102.2,103.5
2021,August,EGW6,Semi-finished goods,103.5,95.3,96.1
2021,August,EGW7,Intermediate products,104.5,95.2,99.1
2021,August,EGW8,End products,90.5,89.8,99.2
2021,August,EGW7-8,Finished goods,92.5,90.5,99.1
2021,August,EGW5-8,Industrial products,93.7,90.9,99
2021,August,EGW9,Other unallocated products,84,87.8,107.5
2021,August,EGW1-9,Total,93.4,91.4,99.6
2021,September,EGW1,Live animals,85.8,99.7,117.5
2021,September,EGW2,Food of animal origin,101.1,101.5,101.1
2021,September,EGW3,Food of vegetable origin,98.2,106.3,99.7
2021,September,EGW4,Tea, alcoholic beverages,e,e
2021,September,EGW1-4,Food,99.5,104.9,100.4
2021,September,EGW5,Raw materials,102.8,124.2,106.3
2021,September,EGW6,Semi-finished goods,102.2,108,102
2021,September,EGW7,Intermediate products,107.1,106.4,99.1
2021,September,EGW8,End products,101.7,102.5,100.1
2021,September,EGW7-8,Finished goods,102.5,103.1,99.9
2021,September,EGW5-8,Industrial products,102.5,103.6,99.8
2021,September,EGW9,Other unallocated products,103.2,98.3,100.5
2021,September,EGW1-9,Total,102.3,103.6,100.2
2021,October,EGW1,Live animals,78.7,120.3,125.1
2021,October,EGW2,Food of animal origin,106.9,102.6,99.5
2021,October,EGW3,Food of vegetable origin,99.8,108.9,98.2
2021,October,EGW4,Tea, alcoholic beverages,e,e
2021,October,EGW1-4,Food,102.3,107.6,99
2021,October,EGW5,Raw materials,127.9,116.7,102.9
2021,October,EGW6,Semi-finished goods,104.9,113.4,99.6
2021,October,EGW7,Intermediate products,105.3,104.2,102.6
2021,October,EGW8,End products,107.8,105.6,97.9
2021,October,EGW7-8,Finished goods,107.5,105.4,98.5
2021,October,EGW5-8,Industrial products,109,106,97.3
2021,October,EGW9,Other unallocated products,118.9,107,98.9
2021,October,EGW1-9,Total,108.9,106.1,97.6
2021,November,EGW1,Live animals,81.9,105,152.9
2021,November,EGW2,Food of animal origin,113.3,104.6,100.6
2021,November,EGW3,Food of vegetable origin,104.9,109.7,98.9
2021,November,EGW4,Tea, alcoholic beverages,e,e
2021,November,EGW1-4,Food,109,109.4,99.3
2021,November,EGW5,Raw materials,137,125.9,88.9
2021,November,EGW6,Semi-finished goods,112.3,120.2,99.1
2021,November,EGW7,Intermediate products,107.8,109.4,102.9
2021,November,EGW8,End products,113.4,109.6,101.4
2021,November,EGW7-8,Finished goods,112.6,109.5,101.5
2021,November,EGW5-8,Industrial products,114.7,110.4,98.6
2021,November,EGW9,Other unallocated products,128.5,109.6,98.4
2021,November,EGW1-9,Total,114.8,110.3,98.4
2021,December,EGW1,Live animals,84.8,121.4,121.5
2021,December,EGW2,Food of animal origin,118.9,107.2,100.6
2021,December,EGW3,Food of vegetable origin,107.3,102.3,96.5
2021,December,EGW4,Tea, alcoholic beverages,e,e
2021,December,EGW1-4,Food,111,104,97.8
2021,December,EGW5,Raw materials,161.1,130.5,93.4
2021,December,EGW6,Semi-finished goods,107.9,116.1,112.7
2021,December,EGW7,Intermediate products,98.6,98,98.5
2021,December,EGW8,End products,106,100.6,102.9
2021,December,EGW7-8,Finished goods,104.9,100.2,102.4
2021,December,EGW5-8,Industrial products,110,101.5,99.4
2021,December,EGW9,Other unallocated products,121.9,124.4,99.3
2021,December,EGW1-9,Total,110.6,102,99.5
2022,January,EGW1,Live animals,91.7,99.1,123.5
2022,January,EGW2,Food of animal origin,99.6,101.6,101.8
2022,January,EGW3,Food of vegetable origin,106.2,101,97.1
2022,January,EGW4,Tea, alcoholic beverages,e,e
2022,January,EGW1-4,Food,104,102.5,98.4
2022,January,EGW5,Raw materials,170.4,135.8,82.9
2022,January,EGW6,Semi-finished goods,114.6,125.4,101.2
2022,January,EGW7,Intermediate products,114.2,117.4,102.3
2022,January,EGW8,End products,107,97.7,98.1
2022,January,EGW7-8,Finished goods,108,100.3,98.7
2022,January,EGW5-8,Industrial products,113.9,102.2,95
2022,January,EGW9,Other unallocated products,80.9,127.7,112
2022,January,EGW1-9,Total,111.7,102.6,95.7
2022,February,EGW1,Live animals,84.7,90.4,120.5
2022,February,EGW2,Food of animal origin,103.3,102.8,100.5
2022,February,EGW3,Food of vegetable origin,109.4,104.6,97.9
2022,February,EGW4,Tea, alcoholic beverages,e,e
2022,February,EGW1-4,Food,106.3,104.2,98.2
2022,February,EGW5,Raw materials,147.5,144.8,81
2022,February,EGW6,Semi-finished goods,115,126.8,99.4
2022,February,EGW7,Intermediate products,141.7,117.5,85.1
2022,February,EGW8,End products,105.4,106,101.4
2022,February,EGW7-8,Finished goods,110.5,107.6,98.5
